provincias,paro_2012iv,cartodb_id,created_at,updated_at
Albacete,33.99,1,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Alicante,28.57,2,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Almería,36.6,3,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Álava,18.3,4,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Asturias,23.76,5,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Ávila,22.23,6,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Badajoz,35.4,7,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Baleares,24.3,8,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Barcelona,24.13,9,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Vizcaya,17.15,10,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Burgos,17.91,11,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Cáceres,31.55,12,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Cádiz,40.63,13,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Cantabria,19.22,14,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Castellón,27.72,15,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Ciudad Real,30.56,16,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Córdoba,34.66,17,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
La Coruña,20.08,18,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Cuenca,24.7,19,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Girona,24.22,21,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Granada,37.32,22,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Guadalajara,25.75,23,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Huelva,36.04,24,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Huesca,14.3,25,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Jaén,36.77,26,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
León,23.76,27,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Lleida,17.81,28,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Lugo,17,29,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Madrid,19.88,30,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Málaga,35.29,31,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Murcia,29.59,32,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Navarra,17.15,33,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Orense,22.7,34,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Palencia,18.66,35,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Las Palmas,33.89,36,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Pontevedra,23.84,37,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
La Rioja,18.73,38,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Salamanca,21.7,39,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Santa Cruz de Tenerife,31.93,40,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Segovia,20.36,41,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Sevilla,32.56,42,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Soria,15.65,43,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Tarragona,25.63,44,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Teruel,15.46,45,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Toledo,30.6,46,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Valencia,27.86,47,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Valladolid,19.79,48,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Zamora,25.25,49,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Zaragoza,19.86,50,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Ceuta,37.84,51,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Melilla,28.31,52,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
"Paseo de la Castellana, 183 - 28071 - Madrid - España Teléfono: (+34) 91 583 91 00 - Contacta:",,55,2013-02-06 12:06:41.693433,2013-02-06 12:06:41.868242
Gipúzcoa,12.59,20,2013-02-06 12:06:41.693433,2013-02-06 12:42:40.165253
